iter	RMSE
0	0.9281880299
1	0.8574977407
2	0.7931668344
3	0.7369411411
4	0.6864001674
5	0.6423776979
6	0.6021157804
7	0.5671021849
8	0.5362100211
9	0.5092430058
10	0.4849527071
11	0.464049201
12	0.4460386623
13	0.4304521806
14	0.4145511428
15	0.4006282293
16	0.388144299
17	0.3776013523
18	0.3686608566
19	0.3606625654
20	0.3537359158
21	0.347946854
22	0.3429333118
23	0.3384717841
24	0.3342918547
25	0.3311543527
26	0.328106304
27	0.3254857971
28	0.3224344137
29	0.3199712757
30	0.3176726946
31	0.316039968
32	0.3140999154
33	0.3123429762
34	0.310984014
35	0.3095520754
36	0.3084726583
37	0.307169558
38	0.3062327277
39	0.3049976873
40	0.3040852451
41	0.30336287
42	0.3024786083
43	0.301821663
44	0.3010060649
45	0.3002986324
46	0.2996960769
47	0.2990739264
48	0.2982869608
49	0.297553756
50	0.2969990538
51	0.2964909325
52	0.296002962
53	0.2952232939
54	0.2944326078
55	0.2939480422
56	0.2933487791
57	0.2929025729
58	0.2922085476
59	0.2917778275
60	0.2914207827
61	0.29093049
62	0.2905653394
63	0.2901926636
64	0.2898611149
65	0.2895265667
66	0.2891026489
67	0.2885800348
68	0.288273485
69	0.2879493215
70	0.2875418052
71	0.2871886514
72	0.2868754017
73	0.2865843117
74	0.2862615045
75	0.2858510292
76	0.2855920412
77	0.2854080576
78	0.2851998313
79	0.2850055682
80	0.2847908012
81	0.2845740441
82	0.284038888
83	0.2839153753
84	0.2836374233
85	0.2832633822
86	0.2829690224
87	0.2826380976
88	0.2823048536
89	0.281922813
90	0.2817475905
91	0.281484373
92	0.2812562719
93	0.2811146434
94	0.2807771429
95	0.2804276773
96	0.2802091509
97	0.2799604093
98	0.2796959651
99	0.2794720698
100	0.2790489823
101	0.27881207
102	0.2786785348
103	0.2785156731
104	0.2783469268
105	0.2781256883
106	0.2778830212
107	0.2776954654
108	0.2774682154
109	0.2772966218
110	0.2771014396
111	0.2767882717
112	0.276657291
113	0.2764866569
114	0.276191158
115	0.2758350228
116	0.275637295
117	0.2754348539
118	0.2752541617
119	0.2750601262
120	0.2748986677
121	0.2746968131
122	0.2745209485
123	0.2743868817
124	0.2741844751
125	0.2740373929
126	0.2738100948
127	0.2735381324
128	0.2733698164
129	0.2731369827
130	0.2729615673
131	0.2728071647
132	0.2726266152
133	0.2724506485
134	0.2722963097
135	0.2721528741
136	0.271990616
137	0.2718352109
138	0.2716672208
139	0.2715726561
140	0.2714588417
141	0.2713545582
142	0.2711771479
143	0.2708993929
144	0.2707376176
145	0.2706265543
146	0.2705319732
147	0.2703952345
148	0.2702572047
149	0.2701016464
150	0.2699815303
151	0.2697141873
152	0.2696208912
153	0.2694735113
154	0.269199599
155	0.2691104864
156	0.2690053112
157	0.2687999778
158	0.2686716212
159	0.2685692729
160	0.2684121405
161	0.2682854114
162	0.2681288097
163	0.2679511191
164	0.2678747714
165	0.2678145231
166	0.2677201318
167	0.2676276322
168	0.2674398262
169	0.2673285662
170	0.2672413613
171	0.2671221765
172	0.2669994458
173	0.2668672303
174	0.2667677008
175	0.2666308681
176	0.2664535439
177	0.266320312
178	0.2662199606
179	0.2661563878
