iter	Passed	Remaining
0	357	356926
1	575	287073
2	780	259351
3	1004	250066
4	1241	247064
5	1436	237911
6	1632	231539
7	1869	231866
8	2071	228103
9	2292	226975
10	2521	226664
11	2756	226988
12	2969	225452
13	3178	223861
14	3411	223997
15	3634	223504
16	3808	220234
17	4049	220921
18	4251	219516
19	4473	219180
20	4648	216714
21	4927	219040
22	5168	219560
23	5410	220024
24	5608	218745
25	5867	219819
26	6035	217489
27	6243	216751
28	6487	217212
29	6692	216389
30	6935	216793
31	7150	216287
32	7389	216540
33	7605	216092
34	7798	215025
35	8033	215130
36	8245	214616
37	8468	214395
38	8662	213456
39	8865	212765
40	9099	212835
41	9311	212384
42	9510	211664
43	9722	211234
44	9956	211306
45	10182	211172
46	10413	211146
47	10640	211035
48	10848	210545
49	11067	210291
50	11273	209767
51	11492	209515
52	11722	209453
53	11904	208549
54	12123	208304
55	12334	207924
56	12558	207761
57	12806	207991
58	13008	207470
59	13220	207127
60	13434	206801
61	13649	206502
62	13843	205892
63	14049	205470
64	14250	204992
65	14482	204946
66	14704	204761
67	14884	204004
68	15099	203731
69	15349	203930
70	15546	203424
71	15763	203179
72	15967	202761
73	16163	202264
74	16369	201893
75	16581	201599
76	16802	201413
77	17020	201189
78	17210	200641
79	17448	200654
80	17652	200274
81	17868	200040
82	18085	199810
83	18279	199331
84	18483	198973
85	18714	198891
86	18900	198351
87	19116	198115
88	19330	197862
89	19563	197805
90	19801	197797
91	20013	197523
92	20262	197611
93	20457	197179
94	20668	196897
95	20853	196372
96	21054	196000
97	21261	195694
98	21449	195208
99	21668	195013
100	21909	195018
101	22103	194594
102	22325	194428
103	22532	194127
104	22740	193838
105	22935	193440
106	23151	193219
107	23390	193187
108	23607	192976
109	23843	192917
110	24063	192725
111	24305	192707
112	24511	192406
113	24695	191933
114	24888	191536
115	25093	191229
116	25330	191168
117	25545	190944
118	25775	190825
119	26024	190845
120	26234	190581
121	26495	190679
122	26718	190502
123	26922	190193
124	27162	190134
125	27384	189951
126	27554	189412
127	27778	189243
128	27992	189002
129	28217	188842
130	28431	188604
131	28717	188838
132	28964	188815
133	29153	188410
134	29373	188205
135	29576	187895
136	29788	187643
137	30005	187423
138	30218	187179
139	30463	187134
140	30697	187016
141	30898	186698
142	31088	186311
143	31344	186322
144	31556	186073
145	31743	185680
146	31934	185305
147	32133	184987
148	32323	184612
149	32524	184303
150	32726	184006
151	32931	183723
152	33158	183562
153	33358	183253
154	33572	183022
155	33804	182889
156	34029	182719
157	34275	182659
158	34506	182514
159	34757	182475
160	34986	182318
161	35217	182176
162	35438	181975
163	35659	181774
164	35866	181506
165	36099	181364
166	36317	181154
167	36492	180726
168	36726	180590
169	36928	180296
170	37119	179952
171	37384	179966
172	37576	179627
173	37781	179353
174	38020	179238
175	38238	179025
176	38445	178760
177	38633	178409
178	38838	178138
179	39063	177956
180	39287	177771
181	39507	177565
182	39728	177365
183	39932	177094
184	40157	176911
185	40367	176663
186	40577	176416
187	40824	176327
188	41045	176126
189	41267	175930
190	41482	175704
191	41692	175456
192	41902	175210
193	42120	174994
194	42341	174794
195	42583	174679
196	42814	174518
197	43034	174310
198	43227	173995
199	43447	173789
200	43677	173624
201	43867	173297
202	44085	173082
203	44335	172996
204	44541	172735
205	44753	172497
206	45014	172447
207	45217	172175
208	45470	172090
209	45678	171836
210	45898	171629
211	46107	171380
212	46350	171255
213	46597	171147
214	46824	170965
215	47034	170718
216	47238	170449
217	47431	170144
218	47618	169819
219	47820	169547
220	48064	169423
221	48198	168911
222	48415	168695
223	48643	168515
224	48878	168360
225	49100	168158
226	49298	167876
227	49500	167608
228	49697	167322
229	49895	167040
230	50103	166795
231	50313	166555
232	50489	166204
233	50685	165917
234	50886	165650
235	51128	165518
236	51352	165323
237	51588	165170
238	51799	164933
239	52010	164698
240	52259	164583
241	52460	164317
242	52707	164195
243	52898	163898
244	53097	163627
245	53336	163477
246	53513	163139
247	53739	162952
248	53991	162843
249	54210	162631
250	54399	162331
251	54612	162104
252	54874	162021
253	55072	161747
254	55344	161694
255	55546	161431
256	55751	161180
257	55978	160992
258	56190	160762
259	56413	160561
260	56666	160445
261	56852	160143
262	57052	159877
263	57283	159698
264	57499	159480
265	57682	159169
266	57900	158956
267	58103	158701
268	58376	158636
269	58569	158355
270	58767	158087
271	58973	157840
272	59172	157575
273	59368	157304
274	59592	157106
275	59805	156881
276	60037	156703
277	60293	156590
278	60565	156515
279	60778	156288
280	60948	155950
281	61145	155682
282	61319	155358
283	61512	155080
284	61725	154854
285	61943	154642
286	62188	154496
287	62431	154345
288	62641	154111
289	62870	153923
290	63068	153660
291	63294	153466
292	63560	153368
293	63760	153111
294	63967	152872
295	64216	152731
296	64448	152550
297	64653	152304
298	64883	152117
299	65119	151945
300	65332	151718
301	65543	151488
302	65757	151263
303	65948	150986
304	66172	150787
305	66416	150631
306	66647	150444
307	66871	150244
308	67081	150009
309	67329	149861
310	67601	149765
311	67812	149534
312	68001	149255
313	68201	149001
314	68432	148813
315	68644	148585
316	68874	148394
317	69128	148257
318	69366	148084
319	69606	147914
320	69818	147685
321	70012	147418
322	70211	147161
323	70426	146938
324	70628	146689
325	70812	146404
326	71009	146144
327	71206	145885
328	71387	145595
329	71626	145423
330	71810	145140
331	72014	144896
332	72252	144721
333	72492	144551
334	72756	144427
335	72978	144219
336	73188	143987
337	73407	143773
338	73615	143538
339	73829	143315
340	74070	143145
341	74306	142964
342	74499	142699
343	74704	142460
344	74941	142280
345	75157	142060
346	75361	141818
347	75556	141559
348	75764	141325
349	75952	141053
350	76157	140815
351	76365	140581
352	76603	140403
353	76735	140031
